[0.351, 0.365, 0.393, 0.41, 0.512, 0.765, 1.171, 2.093, 3.836, 7.542]
[0.353, 0.36, 0.363, 0.442, 0.521, 0.773, 1.166, 2.052, 3.949, 7.553]
[0.321, 0.359, 0.386, 0.444, 0.536, 0.801, 1.228, 2.057, 3.735, 7.162]
[0.35, 0.362, 0.392, 0.44, 0.551, 0.784, 1.203, 2.023, 3.818, 7.264]
[0.348, 0.365, 0.394, 0.442, 0.567, 0.757, 1.192, 2.078, 3.712, 7.18]
[0.353, 0.361, 0.389, 0.448, 0.558, 0.739, 1.179, 2.021, 3.84, 7.553]
[0.35, 0.365, 0.386, 0.446, 0.551, 0.773, 1.22, 2.059, 3.79, 7.217]
[0.349, 0.359, 0.394, 0.444, 0.547, 0.728, 1.212, 2.111, 3.833, 7.791]
[0.348, 0.366, 0.389, 0.423, 0.546, 0.732, 1.229, 2.051, 3.763, 7.175]
[0.355, 0.361, 0.4, 0.445, 0.548, 0.774, 1.232, 2.023, 3.735, 7.465]
[1.599, 1.589, 1.283, 1.597, 1.589, 1.592, 1.6, 1.606, 1.347, 1.639]
[1.611, 1.584, 1.624, 1.586, 1.593, 1.622, 1.641, 1.633, 1.631, 1.645]
[1.31, 1.624, 1.282, 1.29, 1.631, 1.597, 1.598, 1.605, 1.62, 1.642]
[1.599, 1.608, 1.651, 1.603, 1.619, 1.607, 1.605, 1.626, 1.615, 1.677]
[1.63, 1.598, 1.285, 1.588, 1.612, 1.611, 1.607, 1.323, 1.323, 1.665]
[1.599, 1.6, 1.62, 1.602, 1.618, 1.596, 1.6, 1.3, 1.616, 1.636]
[1.299, 1.588, 1.593, 1.652, 1.601, 1.579, 1.298, 1.614, 1.641, 1.643]
[1.626, 1.298, 1.603, 1.61, 1.602, 1.651, 1.658, 1.6, 1.809, 1.649]
[1.325, 1.591, 1.285, 1.604, 1.596, 1.636, 1.607, 1.629, 1.637, 1.655]
[1.616, 1.602, 1.596, 1.292, 1.329, 1.608, 1.607, 1.309, 1.663, 1.341]
